"State","BlackTotal","BlackPerc"
"Washington DC","331477","0.4599"
"Mississippi","1147920","0.3840"
"Louisiana","1553060","0.3343"
"Georgia","3378260","0.3147"
"Maryland","1899670","0.3123"
"Alabama","1334890","0.2719"
"South Carolina","1401780","0.2691"
"Delaware","226875","0.2308"
"North Carolina","2331120","0.2197"
"Virginia","1766960","0.2048"
"New York","3368300","0.1733"
"Puerto Rico","523962","0.1728"
"Tennessee","1188330","0.1723"
"Florida","3592350","0.1633"
"Arkansas","488364","0.1607"
"Illinois","1959970","0.1548"
"Michigan","1516350","0.1510"
"New Jersey","1313610","0.1470"
"Ohio","1639040","0.1395"
"Missouri","778915","0.1263"
"Pennsylvania","1607610","0.1254"
"Texas","3646880","0.1237"
"Connecticut","437087","0.1227"
"Indiana","708540","0.1050"
"Nevada","309359","0.0985"
"Kentucky","413151","0.0918"
"Oklahoma","358388","0.0906"
"Massachusetts","627601","0.0900"
"Rhode Island","86052","0.0815"
"Kansas","214553","0.0737"
"Wisconsin","431044","0.0737"
"Minnesota","410895","0.0721"
"California","2753570","0.0689"
"Nebraska","113007","0.0579"
"Arizona","390181","0.0529"
"Washington","397656","0.0510"
"Colorado","291116","0.0498"
"Alaska","36217","0.0493"
"West Virginia","84775","0.0477"
"Iowa","144373","0.0454"
"Hawaii","49424","0.0350"
"North Dakota","24749","0.0325"
"New Mexico","57850","0.0276"
"Oregon","116586","0.0271"
"South Dakota","22617","0.0250"
"New Hampshire","29687","0.0216"
"Maine","25739","0.0191"
"Vermont","11345","0.0181"
"Wyoming","9555","0.0169"
"Utah","52703","0.0161"
"Idaho","19911","0.0109"
"Montana","10086","0.0093"